id,title,avatar,rating,snippet,likes,date,iso_date,response,likes_scaled,snippet_sentiment,response_sentiment
e5384431-56f9-43fa-a32a-53296afc7f66,Seraphim,https://play-lh.googleusercontent.com/a-/ALV-UjWDTWhpEXPPFm4Ov4qmDC3FIkmGA1Vmo6E12UAhZo7-qjAT16kP,3.0,ive reviewed decided edit response current opinion game great graphics stunning stories nice however long excessive makes feel like chore get end game getting rewards struggle farming upgrading characters hassle resin energy cap upgraded costs energy lowered game good time consuming,88,2024-10-09,2024-10-09 00:08:20+00:00,,0.01941747572815534,0.10999999999999999,0.0
6a73081f-3490-47ba-89fa-83744cb20940,TWOSTORE !,https://play-lh.googleusercontent.com/a-/ALV-UjUK7Urwm9-eVVaeoLAGdt2c6OVh-DjsjRCjirqd3LXuUGHMzFgj,3.0,fun wish fighting quests bunch talking running around comes quests make want leave game brings potential awesome battles turns dialogue cant skip lot potential leave give us ability skip dialogue,35,2024-10-12,2024-10-12 06:39:01+00:00,,0.007722859664607238,0.18,0.0
3a3d4c90-0b6e-45dc-b1e6-014659055bbf,A G,https://play-lh.googleusercontent.com/a-/ALV-UjXjCL4p7Sobi_8LQmMzac-b0R3FM6hG0HjtHd6tv5Dr9N8PGU9a,3.0,fun game enjoy story tons tons content clear youre bored pick problem however long time character reruns year since characters available really killing enjoyment lot people arent able get favorites,11,2024-10-30,2024-10-30 18:01:37+00:00,,0.0024271844660194177,0.10555555555555556,0.0
99015538-1d26-4bd9-a02f-37bc2a361d1a,Astra,https://play-lh.googleusercontent.com/a-/ALV-UjXK_Vg9vvMLxWtTn_7VCFl7HhJgsG4mYYlyGN80lj8xo5dGwjeq,5.0,game phenomenal art style scenery stunning yes game long thats fun takes several journeys gives memories worth remembering combat fun well devs working storage control issues game size would ignore hatefulspam reviews mostly bots people trying ruin joy others,77,2024-10-18,2024-10-18 19:11:12+00:00,,0.01699029126213592,0.1625,0.0
541b3b4d-97f6-42e0-9c68-059a63e1e67f,Angela Williams,https://play-lh.googleusercontent.com/a-/ALV-UjWy8uW8MsVxsqlk5MNBzqm20df24-PGxVQ5-Y_DszX9NDKsPp0,2.0,love game however incredibly laggy point unplayable graphics lowest setting including fps yet still somehow manages crash isnt storage lots point genshin barely makes dent isnt wifi runs smoothly apps please fix optimize better mobile players,14,2024-10-14,2024-10-14 03:04:43+00:00,,0.003089143865842895,0.22142857142857145,0.0
ad484b6a-1b9c-42ab-9cee-9df6e28f12d4,Valerie,https://play-lh.googleusercontent.com/a-/ALV-UjUfsAbHetLltVPZibDZNvAEUjoAqqbp_A971L7rLCUfrFyXsJF0Nw,3.0,used obsessed game havent played months boring repetitive gameplay gotten developers also dont care much player feedback seem pick choose feedback use incorporate quality life changes speaking took years implement qol changes requested years shame genshin impacts dev team needs better,99,2024-10-13,2024-10-13 14:02:08+00:00,,0.021844660194174758,-0.24166666666666667,0.0
fb25cdf6-40d8-44e8-b1b9-d439ebd88565,Daniel “Chotara” Ricciardi,https://play-lh.googleusercontent.com/a-/ALV-UjX7oh5sY-hNhdrMtapYuiI9UG9t1sqPz-gKX-bLdG2PxWq3gNBg,5.0,highly recommend playing game since last year impressed mechanics captivated storyline constant updates keep game interesting ensure player stays engaged lore impressive graphics great gameplay absolutely awesome cutscenes especially since update impressed reccomended many friends enjoyed still playing game till day,65,2024-10-18,2024-10-18 15:20:11+00:00,,0.014342453662842014,0.3506666666666666,0.0
36e821d3-9441-4eaa-94a7-9c7b9b7463b5,Amy,https://play-lh.googleusercontent.com/a-/ALV-UjVt1ZiXL3OSnPZkPU4Vlr2ai7naWCd6XmYhLAuuKL6chor2-V5B,4.0,hello absolutely love game incredible graphics ton fun play lately whenever try open says game bug kicks even get loading screen says developer needs fix issue game opened please fix issue love game always look forward playing end day thank,29,2024-10-29,2024-10-29 00:27:08+00:00,,0.006398940864960283,0.029999999999999992,0.0
4b1e6dcb-d251-450e-9be6-358b4bb8e9d6,Feitan Desy,https://play-lh.googleusercontent.com/a-/ALV-UjUhmgyfUIMPlI21HhTYgdC9uGpDbks4lmkwfWHLc_AtLJ-tWaoJ,4.0,ive playing game since january th real complaints style nice much fan service characters interesting ways theres soooooo much thats gonna added game making boring old phone samsung galaxy se still runs smoothly sometimes itll glitch bad pc since pc running last bits life exploded playing game,64,2024-10-08,2024-10-08 23:13:09+00:00,,0.01412180052956752,-0.053846153846153835,0.0
27525772-1c0a-40e4-8321-4c5f0a0f7c64,Olivia Staringer,https://play-lh.googleusercontent.com/a-/ALV-UjXLPHDMt4Rru_aEgjOs1JSbC-n0N_1dr4EbUfp6Wa9nC16BwC2T,1.0,uninteresting characters uninteresting dialog story potential isnt told well years games story isnt complete would rather relesed moreit gets boring quickly usually open world adventures games find exploring gorgeous open world hours engrossed story enjoying well written characters yet game deliver none things,14,2024-11-11,2024-11-11 22:58:07+00:00,,0.003089143865842895,-0.012500000000000011,0.0
