id,title,avatar,rating,snippet,likes,date,iso_date,response
e5384431-56f9-43fa-a32a-53296afc7f66,Seraphim,https://play-lh.googleusercontent.com/a-/ALV-UjWDTWhpEXPPFm4Ov4qmDC3FIkmGA1Vmo6E12UAhZo7-qjAT16kP,3.0,"While I've reviewed this before, I decided to edit my response to my current opinion. The game is great, the graphics are stunning, and the stories are nice. However, it's very long and excessive. It makes it feel more like a chore. As you get more into the end game, getting rewards is a struggle, and farming and upgrading characters is more of a hassle than it should be. The resin (energy) cap should be upgraded, or costs of energy should be lowered. This game is very good, just time consuming.",88,"October 09, 2024",2024-10-09T00:08:20Z,
6a73081f-3490-47ba-89fa-83744cb20940,TWOSTORE !,https://play-lh.googleusercontent.com/a-/ALV-UjUK7Urwm9-eVVaeoLAGdt2c6OVh-DjsjRCjirqd3LXuUGHMzFgj,3.0,Very fun but I wish there was more fighting in the quests. It's just a bunch of talking and running around when it comes to the quests that just make me want to leave the game. It brings me in with the potential for awesome battles but then turns me off with all the dialogue that you can't skip. Has a lot of potential. At leave give us the ability to SKIP the dialogue.,35,"October 12, 2024",2024-10-12T06:39:01Z,
3a3d4c90-0b6e-45dc-b1e6-014659055bbf,A G,https://play-lh.googleusercontent.com/a-/ALV-UjXjCL4p7Sobi_8LQmMzac-b0R3FM6hG0HjtHd6tv5Dr9N8PGU9a,3.0,"Fun game, I enjoy the story. There is tons to do and tons of content to clear, so if you're bored, pick it up! The problem with it, however, is the long time between character reruns. It has been over a year since some characters are available and it is really killing enjoyment for a lot of people when they aren't able to get their favorites.",11,"October 30, 2024",2024-10-30T18:01:37Z,
99015538-1d26-4bd9-a02f-37bc2a361d1a,Astra,https://play-lh.googleusercontent.com/a-/ALV-UjXK_Vg9vvMLxWtTn_7VCFl7HhJgsG4mYYlyGN80lj8xo5dGwjeq,5.0,"This game is phenomenal. The art style and scenery are stunning. Yes, the game is long, but that's why it's fun. It takes you on several journeys and gives you memories worth remembering. The combat is fun as well, and the devs are working on storage control for those having issues with game size. I would ignore all those hateful/spam reviews as it's mostly just bots or people trying to ruin the joy for others.",77,"October 18, 2024",2024-10-18T19:11:12Z,
541b3b4d-97f6-42e0-9c68-059a63e1e67f,Angela Williams,https://play-lh.googleusercontent.com/a-/ALV-UjWy8uW8MsVxsqlk5MNBzqm20df24-PGxVQ5-Y_DszX9NDKsPp0,2.0,"I love this game. However, it is incredibly laggy to the point where it's unplayable. I have all the graphics on the lowest setting, including the FPS, and yet it still somehow manages to crash. It isn't my storage because I have lots of it to the point where Genshin barely makes a dent in it, and it isn't my wifi because it runs smoothly for all the other apps. Please fix this and optimize it better for mobile players.",14,"October 14, 2024",2024-10-14T03:04:43Z,
ad484b6a-1b9c-42ab-9cee-9df6e28f12d4,Valerie,https://play-lh.googleusercontent.com/a-/ALV-UjUfsAbHetLltVPZibDZNvAEUjoAqqbp_A971L7rLCUfrFyXsJF0Nw,3.0,I used to be obsessed with this game but I haven't played it in months because of how boring and repetitive the gameplay has gotten. The developers also don't care very much about player feedback and seem to pick and choose what feedback they use to incorporate into quality of life changes. Speaking of which it took them 4 years to implement some QoL changes that have been requested for years. A shame but Genshin Impact's dev team needs to do better.,99,"October 13, 2024",2024-10-13T14:02:08Z,
fb25cdf6-40d8-44e8-b1b9-d439ebd88565,Daniel “Chotara” Ricciardi,https://play-lh.googleusercontent.com/a-/ALV-UjX7oh5sY-hNhdrMtapYuiI9UG9t1sqPz-gKX-bLdG2PxWq3gNBg,5.0,"Highly recommend. I have been playing the game since last year (2023) and have been very impressed with the mechanics and captivated by the storyline. Constant updates keep the game interesting and ensure that the player stays engaged. Lore is impressive. Graphics are great during gameplay, and ABSOLUTELY AWESOME during cutscenes, especially since 5.0 update. Very very impressed. Have reccomended to many of my friends and all have enjoyed and are still playing the game till this day.",65,"October 18, 2024",2024-10-18T15:20:11Z,
36e821d3-9441-4eaa-94a7-9c7b9b7463b5,Amy,https://play-lh.googleusercontent.com/a-/ALV-UjVt1ZiXL3OSnPZkPU4Vlr2ai7naWCd6XmYhLAuuKL6chor2-V5B,4.0,"Hello! I absolutely love this game! It has incredible graphics and is a ton of fun to play. But, lately, whenever I try to open it, it says that the game has a bug and kicks me out before I even get to the loading screen. It says the developer needs to fix the issue before the game can be opened. Please fix this issue! I love you game, I always look forward to playing at the end of my day. Thank you!",29,"October 29, 2024",2024-10-29T00:27:08Z,
4b1e6dcb-d251-450e-9be6-358b4bb8e9d6,Feitan Desy,https://play-lh.googleusercontent.com/a-/ALV-UjUhmgyfUIMPlI21HhTYgdC9uGpDbks4lmkwfWHLc_AtLJ-tWaoJ,4.0,"I've been playing this game since January 16th, 2022. I have no real complaints.. The style is nice, not TOO much fan service, The characters are all interesting in their own ways, and there's soooooo much more that's gonna be added to the game not making it boring!! I have an OLD phone (Samsung Galaxy s10e) and it still runs smoothly, sometimes it'll glitch but not as bad as my pc since my pc was running on it's last bits of life... It exploded while I was playing this game... 😞",64,"October 08, 2024",2024-10-08T23:13:09Z,
27525772-1c0a-40e4-8321-4c5f0a0f7c64,Olivia Staringer,https://play-lh.googleusercontent.com/a-/ALV-UjXLPHDMt4Rru_aEgjOs1JSbC-n0N_1dr4EbUfp6Wa9nC16BwC2T,1.0,"Uninteresting characters, uninteresting dialog, a story with potential that isn't told very well. It has been 5 years and the games story isn't complete, I would have rather they not relesed it until there was more.It gets boring very quickly, usually in other open world adventures games, I find myself exploring the gorgeous open world for hours, engrossed in the story and, enjoying well written characters, yet this game can deliver in none of those things.",14,"November 11, 2024",2024-11-11T22:58:07Z,
