id,title,avatar,rating,snippet,likes,date,iso_date,response
45b29182-3368-445f-8353-efc25383ea9f,Francesca Ashley Inguito,,1,"This was awful, the dialogue of characters in story's take to long, even that alone takes me out, and lantern rite AFTER the archon Mavuika debuts?! It's honestly baffling, I'll take the time to list all the flaws in my opinion. It focuses on only one opinion of one side, I'm talking about how they only the opinion of Chinese players, Its one sided, The designs, for me, its natlan designs, for example, chasca, she does NOT fit in with the cultures of natlan, I'd say more but wouldnt fit.",1,2025-01-12 17:37:21,2025-01-12T17:37:21,
5baab1b9-0540-4ac3-90c9-1ee3462bdc73,Ikmal Hariz,,5,MANYAK BAGUS LA I LIKE CUMA PLS CEPAT KAN SIKIT DOWNLOAD SO OVERALL I THINK IS 9.8/10,0,2025-01-12 02:42:05,2025-01-12T02:42:05,
4de306eb-b9aa-4b44-a1f9-fb7adbde027a,Luna,,5,Good,1,2025-01-10 20:11:24,2025-01-10T20:11:24,
27a1f807-e2d0-4fd5-9d83-5f3f6f5b0a45,Mohamad Indra N.,,1,"The lack of a skip button is one of my main reasons to quit and convert to WuWa. It's beyond irritating doing humongous yapping fest quests with dogshit stories, dialogues, and recycled animations. It's time-consuming and infuriating. You wanna make the players pay attention to the story? Then make a good story with engaging storytelling. Instead of a boring yapping fest which you force players to get through. I'll never return to the game and stick to WuWa until they add it.",126,2025-01-09 03:59:54,2025-01-09T03:59:54,"Thank you for your constant support of Genshin Impact. We welcome any valuable input from you. If you have any comments or suggestions you would like to share, please feel free to contact our Customer Service team via the in-game feedback channel or email to help us improve the game."
b2360ca2-fe1a-47f9-a895-cd5b362a49c3,Elizer Vaxter,,1,I like capitano. I'm a male. I'm not gay. See what I did there?,35,2025-01-05 07:29:37,2025-01-05T07:29:37,
ab5de972-ff20-4d3a-a7e0-b69dcea7239f,Isabella Castl,,1,I can't even play on Chromebook. its irritating.,0,2025-01-04 22:50:06,2025-01-04T22:50:06,"Hello Traveler! Please go to the official Genshin Impact website to refer to information on system requirements for a more stable and smooth gaming experience. Meanwhile, to further locate the cause of the issue, please contact the Customer Service team via the in-game feedback channel or email."
1db18a68-c3bb-416c-bcea-67d8e7edc583,ʀɛʏʐʏ ɴᴏᴛᴜʀᴛʏᴘᴇ.,,1,sucks RNG,26,2025-01-03 17:20:24,2025-01-03T17:20:24,"Hello, Traveler! You can view the Wish System rules in the Details section of the Wish screen. If you have any questions about the details of the relevant rules, please feel free to contact our Customer Service team via the in-game feedback channel or email."
fdbf5d4a-6b6a-4c9f-a7e4-2e3fc78dd1cb,Fernanda Solis Fuentes (ʚstarsrequiemɞ ꨄ),,1,the amount of money y'all could have made if capitano we're to be playable.. 🙁,69,2025-01-02 03:22:57,2025-01-02T03:22:57,"We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game."
30195f78-0494-47a4-b77f-7df7318f59a7,artik5552,,1,"Basically to sum everything in one, this game is a waste of your time and a tricksteri. As hoyoverse do not respect your hard earned primogems.They just want you to spend money. Wasted 50 k gems on the 50/50 system. Like if we don't spend enough gems already just to get what we want,hey? Noo,spend more!lose more 50/50 to get unneeded stuff you won't ever need and same goes for weapon banner not only character banner. Don't play this Game,for your own good.",71,2025-01-01 18:23:37,2025-01-01T18:23:37,"Thank you for your constant support of Genshin Impact. We welcome any valuable input from you. If you have any comments or suggestions you would like to share, please feel free to contact our Customer Service team via the in-game feedback channel or email to help us improve the game."
e4c8f5b5-ecfe-46c6-a94b-254caf4409bf,Полина Подъячева,,1,Игра параша,17,2025-01-01 14:21:04,2025-01-01T14:21:04,"We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game."
c14590e4-9ada-477e-b8bb-84b0e16c2fee,Craftsman Tool,,5,I want father,7,2025-01-01 10:51:27,2025-01-01T10:51:27,
c2cf3352-b6c0-4c69-b828-a213a7726c17,Blob,,1,Putting both new characters in the same half while giving rewards in the next half is absolutely greedy and disgusting.,153,2024-12-31 00:29:18,2024-12-31T00:29:18,"We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game."
000cf0bb-fb90-44cd-9f9e-1793a88f98a5,Harsh Gupta,,3,Graphics were stunning for sure But i couldn't understand what to do or how i should play Instructions were not clear,9,2024-12-30 00:00:54,2024-12-30T00:00:54,
5009ab35-b954-4ac9-b837-bcf0efb1b466,مصعب,,5,Good,9,2024-12-29 23:59:55,2024-12-29T23:59:55,
edff7848-e968-4a39-a91e-c20a37509edb,Starriboo,,5,"Game is very fun and the new updates are fun as well. With the new updaye Natlan, im very pleased with how much fun it is and hiw much it gives to the players. Can we hope that the bext region(s) could have the same profit of Natlan please? Especially as an ftp player :)",7,2024-12-29 23:59:08,2024-12-29T23:59:08,
f0ee2df6-753e-4a64-bd75-1ef0f5e8e830,Calynn CJ,,5,I love this game. My mother introduced it to me in 2023 during Neuvilletes banner and ive been OBSESSED!!!! 10/10 graphics 10/10 character design 10/10 lore 10/10 gameplay,8,2024-12-29 23:54:51,2024-12-29T23:54:51,
5af910b9-e4a5-4d67-8f58-35fca7bb9e29,Jasin,,5,Don't touch my coco melon,12,2024-12-29 23:51:56,2024-12-29T23:51:56,
